What ancient civilization developed the concept of zero independently of other cultures? | The Maya civilization
What is the name of the phenomenon where light bends around a massive object, as predicted by Einstein's theory of general relativity? | Gravitational lensing
In Norse mythology, what is the name of the bridge that connects Midgard (Earth) to Asgard? | Bifröst
What was the first computer virus to spread in the wild, and in what year was it discovered? | The Elk Cloner virus, discovered in 1982
What architectural style is characterized by pointed arches, ribbed vaults, and flying buttresses? | Gothic architecture
What is the term for a musical composition that is designed to be played as the sun rises? | Alba or Aubade
What is the French term for the culinary technique of slowly cooking food in fat at low temperatures? | Confit
What 1979 film is considered the first mainstream cyberpunk movie? | Alien
What is the name of the first satellite launched by the United States, and in what year was it launched? | Explorer 1, launched in 1958
What philosophical concept, introduced by Jean-Paul Sartre, refers to the idea that existence precedes essence? | Existentialism
What is the only sport to have been played on the moon, and who performed it? | Golf, played by Alan Shepard during the Apollo 14 mission
What fashion designer is credited with popularizing the "little black dress" in the 1920s? | Coco Chanel
What is the term for the process by which nitrogen is converted into ammonia by certain bacteria? | Nitrogen fixation
What is the name of the unsolved problem in mathematics that asks whether every even integer greater than 2 can be expressed as the sum of two primes? | Goldbach's Conjecture
What is the only language that is spoken in every country in the world? | English
What video game franchise features a character named Geralt of Rivia? | The Witcher
What psychological term describes the phenomenon where people remember uncompleted tasks better than completed ones? | Zeigarnik effect
What is the name of the theater technique where actors break the fourth wall and address the audience directly? | Direct address
What economic theory, developed by John Maynard Keynes, advocates for government intervention to stabilize the economy? | Keynesian economics
What is the term for the alleged ability to perceive events or objects beyond the natural range of the senses? | Extrasensory perception (ESP)
What is the name of the first commercially successful steam locomotive, built in 1829? | The Rocket
What is the holiest city in Judaism, Islam, and Christianity? | Jerusalem
What is the name of the deepest known point in the Earth's oceans? | Challenger Deep
What is the term for the surgical procedure that involves removing the appendix? | Appendectomy
What novel by James Joyce is known for its stream-of-consciousness narrative style? | Ulysses
What is the term for a bicycle race that takes place over a single day, often covering long distances? | Classic race
What is the only country to have participated in every FIFA World Cup since its inception in 1930? | Brazil
What is the name of the process by which plants release water vapor into the atmosphere? | Transpiration
What is the name of the mathematical constant that represents the ratio of a circle's circumference to its diameter? | Pi (π)
What is the most widely spoken constructed language in the world? | Esperanto
What video game is known for its procedurally generated levels and permadeath mechanic? | Rogue
What psychological disorder is characterized by a persistent fear of gaining weight and a distorted body image? | Anorexia nervosa
What is the name of the theater festival held annually in Avignon, France? | Festival d'Avignon
What economic indicator measures the average change in prices paid by consumers for goods and services? | Consumer Price Index (CPI)
